p_id,programming_task,music_cond,interval_30,interval_31,interval_32,interval_33,interval_34,interval_35
P14,1,1,0.47234199556946344,0.5625890832278989,0.4214599431171335,0.32652788101986324,0.35912630234725323,0.520253841989943
P08,1,4,-0.05649404859423109,0.12599969664093383,-0.04928628834082035,1.1718233848950854,0.09361989078790971,-0.2929499106105987
P01,4,4,5.313897101836513,2.5967363658315654,0.9816348016182684,0.5404567660572912,1.29807290751298,0.6765974651584346
P03,2,1,-0.9155218781276037,-0.802894710249777,1.824447523654795,4.646727849501662,-2.394986609720495,-0.5667552182050921
P11,1,3,0.5789803844621447,0.450412761533266,0.4049757411284484,0.5216871272182585,0.4809257438324206,0.3097085009195679
P04,4,1,-1.8853259461368874,5.752195175104777,-0.4825777279762808,-1.7152883559529515,2.523420685398917,3.810853702379969
P11,4,2,0.30387007511697056,0.4174159517385299,0.6352615505365798,-4.820923177594265,0.42503358324803475,0.5434266750232305
P15,3,4,0.883561885342724,0.9174040846018423,1.430338391491193,0.9291608485654927,0.838078029127702,1.108456837870143
P04,1,3,-0.23223836326912908,1.616269786449078,-1.2289551714810276,-0.013184615404857004,0.2316547574151015,-0.5607997016667066
P14,4,4,0.8879623774434678,1.4100403081871535,0.9656667704419172,0.7506952580622943,-16.691921788358325,0.618006187539801
P13,2,3,-0.041512801248278365,0.9546944046366712,4.636974934359917,0.2321678855357137,0.15931816622165054,0.5126969104223398
P01,1,3,0.5268848414763265,0.7205930733737583,1.0344928770518913,0.6658662277314358,0.8973943936280462,0.8704779881973419
P10,3,3,-3.3283458135767656,-0.6923562837173971,-0.5702118043129826,-0.7473695379034159,-3.602139550739977,0.5328239900951095
P08,4,1,-0.4938805348745903,-0.5597964695792768,-0.3127628386200803,-0.04761990639725543,-55.73678135216951,0.4977961619905031
P08,3,2,0.0720999801223195,-0.05442108622604328,-1.9573033880477761,-0.5728045087730912,0.004519152824754851,0.16545446469529854
P10,4,4,-3.9121829751164743,-1.9473123052192831,-1.8137180513110112,-1.616053864981064,-25.210239636567305,-5.351221760505005
P05,1,4,0.2811916724370631,0.7023047373871024,0.3841333229438478,0.4317909375859576,0.8450060980263521,0.6095260807567123
P14,3,3,0.5876632392353015,0.4053954976370451,0.4245268518622052,0.31818675310280264,0.3552721925550839,0.45329213695901405
P15,4,2,0.3823474542104501,0.9822309825530998,0.9226445456880797,0.8755543189475958,0.8462204856323912,0.813735147764395
P12,2,2,0.5316323283251237,1.7082441222325198,0.2725307816600782,0.4755750391971772,0.184801381620475,0.3231856255972062
P11,3,1,-2.3973684515942852,1.3045384279768044,3.3355362755673643,25.31169164061078,-7.0581681962358775,0.743943475024739
P09,4,3,-0.1696079962684772,-0.22841559258098598,-0.06047476680610275,0.07934783942878865,-0.09265818551046806,-0.010574096159069893
P13,4,4,0.6495722805202375,2.2958539547219816,1.2776985615429484,0.26970288742631066,0.3675934048931308,0.21361145848013338
P08,2,3,5.47236608510659,2.514970986406078,1.5772835184205942,0.6333061677935494,0.7556959765230444,0.3385357106354097
P14,2,2,0.511426637343231,0.567009308015039,0.33358125954524925,0.37652176551521926,0.23717343737891075,0.287557912484577
P06,1,3,-3.4071801851833095,0.5239822941494059,1.2249869557465427,-0.6546805200482401,2.539960586382598,0.6918062144223787
P12,3,1,6.751545406840495,-1.19395505644078,-2.7739524998788583,-1.987318320003699,-2.8763334909679292,1.1745118924988815
P03,1,4,-1.1940580144971666,-2.7031927900642883,-2.189443216677978,-3.8970838011423847,-0.682235949263376,-2.30817013818484
P12,4,4,0.4142020939610217,1.4464373255178122,-2.4862694403238783,3.1537471792516714,1.3629974177981485,0.9527356711983582
P09,2,4,-0.46862221054138303,-2.313789290085007,-1.3200855879595772,-0.8306321173792683,-0.16340632945653863,-0.20874191076745707
P15,2,3,0.8193249503892325,0.48025172041339814,0.7226738545435779,0.7312429435859206,0.6490625493238269,0.43714637151082336
P07,1,2,0.3890188715804041,0.5254239856427867,0.3818271586782281,0.3794681133659706,0.3972393163330798,0.7498329572913713
P10,2,2,4.452692955155581,-13.616808115930944,-6.749398851171786,-1.38445661226991,-15.434110484789187,-21.60677354346106
P02,1,3,0.33437689679907123,0.3791192188070757,0.5471054904438297,0.6845841631563888,0.5984620020476153,0.5575669126377029
P13,3,2,0.20061503643144046,0.207435365099999,0.1427236215151201,0.17935470750366111,0.24395347181662724,0.16388361023935527
